dataset1_drug_id,smiles,dataset1_ik14,overlap
DB00322,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,ODKNJVUHOIMIIZ,1
DB00323,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,MIQPIUSUKVNLNT,1
DB00324,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,FAOZLTXFLGPHNG,1
DB00325,O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N,ASPOIVQEUUCDQT,0
DB00326,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O,FATUQANACHZLRT,0
DB00327,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,WVLOADHCBXTIJK,1
DB00328,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,CGIGDMFJXJATDK,1
DB00330,CC[C@@H](CO)NCCN[C@@H](CC)CO,AEUTYOVWOVBAKS,1
DB00331,CN(C)C(=N)NC(N)=N,XZWYZXLIPXDOLR,1
DB00332,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C,OEXHQOGQTVQTAT,1
DB00333,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,USSIQXCVUWKGNF,1
DB00334,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,KVWDHTXUZHCGIO,1
DB00335,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,METKIMKYRPQLGS,1
DB00336,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,IAIWVQXQOWNYOU,0
DB00337,[H][C@]1(CC[C@H](Cl)[C@@H](C1)OC)\C=C(/C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)OC,KASDHRXLYQOAKZ,1
DB00338,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,SUBDBMMJDZJVOS,1
DB00339,NC(=O)C1=NC=CN=C1,IPEHBUMCGVEMRF,1
DB00340,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,MJFJKKXQDNNUJF,1
DB00341,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,ZKLPARSLTMPFCP,1
DB00343,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,HSUGRBWQSSZJOP,0
DB00344,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,BWPIARFWQZKAIA,1
DB00345,NC1=CC=C(C=C1)C(=O)NCC(O)=O,HSMNQINEKMPTIC,0
DB00346,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1,WNMJYKCGWZFFKR,1
DB00347,CN1C(=O)OC(C)(C)C1=O,IRYJRGCIQBGHIV,1
DB00349,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,CXOXHMZGEKVPMT,1
DB00350,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,ZFMITUMMTDLWHR,0
DB00351,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C,RQZAXGRLVPAYTJ,1
DB00352,NC1=NC(=S)C2=C(N1)N=CN2,WYWHKKSPHMUBEB,1
DB00353,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,UNBRKDKAWYKMIV,1
DB00354,CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1,MOYGZHXDRJNJEP,1
DB00355,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O,WZPBZJONDBGPKJ,1
DB00356,ClC1=CC2=C(OC(=O)N2)C=C1,TZFWDZFKRBELIQ,1
DB00357,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,ROBVIMPUHSLWNV,1
DB00358,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,XEEQGYMUWCZPDN,1
DB00359,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,SEEPANYCNGTZFQ,1
DB00360,[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O,FNKQXYHWGSIFBK,1
DB00361,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,GBABOYUKABKIAF,1
DB00362,[H][C@]1(NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C1=O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,JHVAMHSQVVQIOT,0
DB00363,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,QZUDBNBUXVUHMW,1
DB00364,O.O[Al](O)O.O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O,IPLJAZDIICJQEL,0
DB00366,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,HCFDWZZGGLSKEP,0
DB00367,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],WWYNJERNGUHSAO,1
DB00368,NC[C@H](O)C1=CC(O)=C(O)C=C1,SFLSHLFXELFNJZ,1
DB00369,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,VWFCHDSQECPREK,1
DB00370,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,RONZAEMNMFQXRA,1
DB00371,CCCC(C)(COC(N)=O)COC(N)=O,NPPQSCRMBWNHMW,1
DB00373,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,BLJRIMJGRPQVNF,1
DB00374,[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=C(C2)C(OCC(O)=O)=CC=C1,PAJMKGZZBBTTOY,1
DB00376,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,HWHLPVGTWGOCJO,0
DB00377,[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2,CPZBLNMUGSZIPR,1
DB00378,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,JGMOKGBVKVMRFX,1
DB00379,CC(N)COC1=C(C)C=CC=C1C,VLPIATFUUWWMKC,1
DB00380,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,BMKDZUISNHGIBY,1
DB00381,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,HTIQEAQVCYTUBX,0
DB00384,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,FNYLWPVRPXGIIP,1
DB00385,[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)COC(=O)CCCC)O[C@H]1C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1,ZOCKGBMQLCSHFP,1
DB00387,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,WYDUSKDSKCASEF,1
DB00388,CNC[C@H](O)C1=CC(O)=CC=C1,SONNWYBIRXJNDC,1
DB00389,CCOC(=O)N1C=CN(C)C1=S,CFOYWRHIYXMDOT,1
DB00390,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,LTMHDMANZUZIPE,1
DB00391,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,BGRJTUBHPOOWDU,1
DB00392,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,CDOZDBSBBXSXLB,1
DB00393,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,UIAGMCDKSXEBJQ,1
DB00394,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,KUVIULQEHSCUHY,1
DB00395,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,OFZCIYFFPZCNJE,1
DB00396,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,RJKFOVLPORLFTN,1
DB00397,[H][C@@](C)(N)[C@]([H])(O)C1=CC=CC=C1,DLNKOYKMWOXYQA,1
DB00398,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,MLDQJTXFUGDVEO,1
DB00399,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,XRASPMIURGNCCH,1
DB00400,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,DDUHZTYCFQRHIY,1
DB00401,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,VKQFCGNPDRICFG,1
DB00402,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,GBBSUAFBMRNDJC,1
DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,VREFGVBLTWBCJP,1
DB00405,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,ZDIGNSYAACHWNL,1
DB00408,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2,XJGVXQDUIWGIRW,1
DB00409,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC,GUJRSXAPGDDABA,1
DB00410,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O,MINDHVHHQZYEEK,1
DB00411,C[N+](C)(C)CCOC(N)=O,VPJXQGSRWJZDOB,1
DB00412,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,YASAKCUCGLMORW,1
DB00413,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,FASDKYOPVNHBLU,1
DB00415,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,AVKUERGKIZMTKX,1
DB00417,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,BPLBGHOLXOTWMN,1
DB00418,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,KQPKPCNLIDLUMF,1
DB00419,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,UQRORFVVSGFNRO,0
DB00420,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12,ZGUGWUXLJSTTMA,1
DB00421,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,LXMSZDCAJNLERA,1
DB00422,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,DUGOZIWVEXMGBE,1
DB00423,COC1=C(OCC(O)COC(N)=O)C=CC=C1,GNXFOGHNGIVQEH,1
DB00424,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,RKUNBYITZUJHSG,1
DB00425,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,ZAFYATHCZYHLPB,1
DB00426,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,GGXKWVWZWMLJEH,0
DB00427,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1,CBEQULMOCCWAQT,1
DB00428,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,ZSJLQEPLLKMAKR,0
DB00429,OCC([NH3+])(CO)CO.CCCCC[C@@](O)(C)\C=C\[C@H]1[C@@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)[O-],UMMADZJLZAPZAW,0
DB00430,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O,PWAUCHMQEXVFJR,1
DB00432,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F,VSQQQLOSPVPRAZ,1
DB00433,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,WIKYUJGCLQQFNW,1
DB00434,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,JJCFRYNCJDLXIK,1
DB00435,[N]=O,MWUXSHHQAYIFBG,1
DB00436,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,HDWIHXWEUNVBIY,0
DB00437,OC1=NC=NC2=C1C=NN2,OFCNXPDARWKPPY,1
DB00438,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,ORFOPKXBNMVMKC,1
DB00440,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,IEDVJHCEMCRBQM,1
DB00441,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,SDUQYLNIPVEERB,1
DB00442,NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](CO)C1=C,QDGZDCVAUDNJFG,1
DB00443,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,UREBDLICKHMUKA,1
DB00444,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@H](O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1,NRUKOCRGYNPUPR,1
DB00445,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,AOJJSUZBOXZQNB,1
DB00446,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,WIIZWVCIJKGZOK,1
DB00448,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,MJIHNNLFOKEZEW,1
DB00449,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1,OCUJLLGVOUDECM,1
DB00450,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,RMEDXOLNCUSCGS,1
DB00451,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,XUIIKFGFIJCVMT,1
DB00452,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,PGBHMTALBVVCIT,1
DB00453,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(=O)NCO)=C(O)[C@H]2N(C)C)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O,GJGDLRSSCNAKGL,0
DB00454,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,XADCESSVHJOZHK,1
DB00455,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,JCCNYMKQOSZNPW,1
DB00456,[H][C@@]1(NC(=O)CC2=CC=CS2)C(=O)N2C(C(O)=O)=C(COC(C)=O)CS[C@]12[H],XIURVHNZVLADCM,1
DB00457,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1,IENZQIKPVFGBNW,1
DB00458,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,BCGWQEUPMDMJNV,1
DB00459,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,IHUNBGSDBOWDMA,1
DB00460,COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C,YTZALCGQUPRCGW,0
DB00461,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2,BLXXJMDCKKHMKV,1
DB00462,[Br-].[H][C@]12C[C@@H](C[C@@]([H])(C3OC13)[N+]2(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1,CXYRUNPLKGGUJF,0
DB00465,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,OZWKMVRBQXNZKK,1
DB00467,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1,IDYZIJYBMGIQMJ,1
DB00468,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,LOUPRKONTZGTKE,1
DB00469,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O,LZNWYQJJBLGYLT,1
DB00470,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1,CYQFCXCEBYINGO,1
DB00471,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,UCHDWCPVSPXUMX,1
DB00472,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,RTHCYVBBDHJXIQ,1
DB00474,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,NZXKDOXHBHYTKP,1
DB00475,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1,ANTSCNMPPGJYLG,0
DB00476,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,ZEUITGRIYCTCEM,1
DB00477,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,ZPEIMTDSQAKGNT,1
DB00479,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,LKCWBDHBTVXHDL,1
DB00480,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,GOTYRUGSSMKFNF,1
DB00481,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,GZUITABIAKMVPG,1
DB00482,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,RZEKVGVHFLEQIL,1
DB00483,[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC,REEUVFCVXKWOFE,0
DB00484,BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,XYLJNLCSTIOKRM,1
DB00485,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O,YFAGHNZHGGCZAX,1
DB00486,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC,GECBBEABIDMGGL,1
DB00487,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1,FHFYDNQZQSQIAI,1
DB00488,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,UUVWYPNAQBNQJQ,1
DB00489,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,ZBMZVLHSJCTVON,1
DB00490,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,QWCRAEMEVRGPNT,1
DB00491,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,IBAQFPQHRJAVAV,1
DB00492,CCC(=O)O[C@@H](O[P@](=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C,BIDNLKIUORFRQP,1
DB00493,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,GPRBEKHLDVQUJE,1
DB00494,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,JRURYQJSLYLRLN,1
DB00495,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,HBOMLICNUCNMMY,1
DB00496,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,HXGBXQDTNZMWGS,1
DB00497,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C,BRUQQQPBMZOVGD,1
DB00498,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,NFBAXHOPROOJAW,1
DB00499,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,MKXKFYHWDHIYRV,1
DB00500,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,UPSPUYADGBWSHF,1
DB00501,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,AQIXAKUUQRKLND,1
DB00502,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,LNEPOXFFQSENCJ,1
DB00503,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,NCDNCNXCDXHOMX,1
DB00504,[H][C@@]12CCCC[C@@]11CCN(CC=C)[C@@H]2CC2=C1C=C(O)C=C2,OZYUPQUCAUTOBP,1
DB00508,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,XSCGXQMFQXDFCW,1
DB00511,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1,HPMZBILYSWLILX,0
DB00512,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2,MYPYJXKWCTUITO,1
DB00513,NCCCCCC(O)=O,SLXKOJJOQWFEFD,0
DB00514,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2,MKXZASYAUGDDCJ,1
DB00515,N[Pt](N)(Cl)Cl,DQLATGHUWYMOKM,0
DB00517,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C,QSFKGMJOKUZAJM,0
DB00518,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,HXHWSAZORRCQMX,1
DB00519,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,VXFJYXUZANRPDJ,1
DB00520,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CCN,JYIKNQVWKBUSNH,1
DB00521,CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2,LWAFSWPYPHEXKX,1
DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,SHGAZHPCJJPHSC,1
DB00524,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O,AQCHWTWZEMGIFD,1
